;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
44.;VIDRES, SA;A12019295;VILA-REAL;ESPANA;U2;31/12/2021;67.339
45.;TOURMUNDIAL OPERADORES SA;A28490910;MADRID;ESPANA;U1;28/02/2022;65.996
46.;CAIXA POPULAR CAIXA RURAL COOP DE CREDITO V;F46090650;PATERNA;ESPANA;U1;31/12/2021;65.209
47.;SA DE COMERCIO Y SERVICIO ELECTRODOMESTICO;A08414906;RUBI;ESPANA;U1;31/01/2021;63.560
48.;ACERIA DE ALAVA SA;A01010958;AMURRIO;ESPANA;U1;31/12/2021;62.763
49.;SAKANA SCI;F31065121;LAKUNTZA;ESPANA;U1;31/12/2020;61.767
50.;OXIMESA S.L.U.;B18014134;MADRID;ESPANA;U1;31/03/2021;61.434
51.;TEAM'S MOTOR SA;A08385395;BARCELONA;ESPANA;U1;31/12/2021;61.378
52.;AMES GROUP SINTERING S.A.;A08382699;SANT FELIU DE LLOBREGAT;ESPANA;U1;31/12/2021;61.325
53.;PERALES Y FERRER SL;B03044641;BIGASTRO;ESPANA;U1;31/08/2020;61.313
54.;CARNES Y CONSERVAS ESPAÑOLAS SA (EXTINGUIDA);A28419372;MERIDA;ESPANA;U1;31/12/2009;59.639
55.;BONDUELLE ESPANA S.A.(EXTINGUIDA);A31064629;MILAGRO;ESPANA;U1;30/06/2005;58.888
56.;M TORRES DISEÑOS INDUSTRIALES SAU;A31085640;NOAIN (V ELORZ)/NOAIN (ELORTZIBAR);ESPANA;U1;31/12/2021;57.823
57.;DISPROQUIMA SA;A08356057;TERRASSA;ESPANA;U2;31/12/2021;56.497
58.;SISTEMAS Y MONTAJES INDUSTRIALES SA;A28407468;GETAFE;ESPANA;U1;31/12/2021;55.827
59.;ALFICO SA;A36614378;REDONDELA;ESPANA;U1;31/12/2020;55.379
60.;TALLERES SANTI ENRIQUE SA;A08398505;BARBERA DEL VALLES;ESPANA;U1;31/12/2021;53.966
61.;CONGELACION DE PESCADOS CATARROJA S.L. (EXTINGUIDA);B46082178;CATARROJA;ESPANA;U1;31/12/2007;53.815
62.;FUNDIMOTOR SA (EXTINGUIDA);A08416232;LOS CORRALES DE BUELNA;ESPANA;U1;31/12/2003;52.987
63.;GIHEBEL SA;A28416444;MADRID;ESPANA;U1;31/12/2010;51.793
64.;EXPORTACIONES ARANDA SL;B46090791;PILES;ESPANA;U1;31/08/2021;51.108
65.;FLEJES INDUSTRIALES SA;A03046125;IBI;ESPANA;U1;31/12/2021;50.825
66.;AZUCARERA DEL GUADALFEO SA;A28427755;SALOBREÑA;ESPANA;U2;31/12/2021;50.053
67.;NUEVO PARQUE, SA  (EXTINGUIDA);A28404119;MADRID;ESPANA;U1;31/12/2004;49.215
68.;NUPROSA SA (EXTINGUIDA);A08383853;BARCELONA;ESPANA;U1;31/12/2000;48.574
69.;ALCURA HEALTH ESPAÑA SA.;A08395295;VILADECANS;ESPANA;U1;31/08/2021;44.999
70.;FABRICA ESPAÑOLA DE CONFECCIONES SA;A28030062;SAN SEBASTIAN DE LOS REYES;ESPANA;U2;31/12/2021;44.456
71.;QUIMICA DEL CINCA SL;B08628455;MONZON;ESPANA;U1;31/12/2021;44.343
72.;COMPUESTOS Y GRANZAS SAU;A01010776;MENDAVIA;ESPANA;U1;31/12/2021;44.141
73.;HELIOPOL SA;A41043324;SEVILLA;ESPANA;U1;31/12/2021;43.629
74.;JUGUETTOS CENTRAL DE COMPRAS S.C. V;F03045853;VILLENA;ESPANA;U2;31/01/2021;43.477
75.;STANDARD HIDRAULICA SAU;A08371973;MONTCADA I REIXAC;ESPANA;U1;31/12/2021;43.077
76.;JAEN DISTRIBUIDORA SOCIEDAD ANONIMA;A23012719;JAEN;ESPANA;U1;31/12/2021;43.017
77.;EINSA PRINT SA.;A28407484;SAN SEBASTIAN DE LOS REYES;ESPANA;U2;31/12/2020;42.407
78.;DISTRIBUIDORA VICENS VIVES SA (EXTINGUIDA);A08372351;BARCELONA;ESPANA;U1;31/12/2015;42.219
79.;BANKOA SA;A20043717;DONOSTIA/SAN SEBASTIAN;ESPANA;U2;31/12/2020;41.332
80.;LERIDANA DE ESTRUCTURAS Y CUBIERTAS SA (EXTINGUIDA);A25013863;MOLLERUSSA;ESPANA;U1;31/12/2018;40.987
81.;N. 2439 S.A.T.;F30030753;LORCA;ESPANA;U2;31/12/2021;40.902
82.;ESTAMPACIONES MAYO SA;A31073562;ARANGUREN;ESPANA;U1;31/12/2020;40.833
83.;HERMANOS MORAN SA (EXTINGUIDA);A28385326;MADRID;ESPANA;U1;31/12/2007;40.609
84.;SAT N 2457 SAN CAYETANO DE TORRE PACHECO;F30020408;SAN JAVIER;ESPANA;U1;30/09/2019;40.386
85.;LAMIGRAF, SA;A08384638;L'AMETLLA DEL VALLES;ESPANA;U2;31/12/2020;39.061
86.;BAGU SL;B12019840;BORRIANA/BURRIANA;ESPANA;U2;31/07/2021;38.963
87.;EJIDOMAR S.C. AND;F04006110;EL EJIDO;ESPANA;U1;31/08/2021;38.594
88.;AUTOPISTA CONCESIONARIA ASTUR LEONESA SOCIEDAD ANONIMA;A28415784;LLANERA;ESPANA;U1;31/12/2021;38.386
89.;MARMOL COMPAC, SAU;A46079869;EL REAL DE GANDIA;ESPANA;U1;31/12/2021;37.492
90.;ELECTRONICA OLFER SL;B28380921;ALCOBENDAS;ESPANA;U1;31/12/2021;36.886
91.;AUTO JUNTAS SOCIEDAD ANONIMA;A02007029;ALBACETE;ESPANA;U1;31/12/2021;35.709
92.;GRUPO BN, FACILITY SERVICES SA.;A08401895;SABADELL;ESPANA;U2;31/12/2021;35.461
93.;HOOCKER SA (EXTINGUIDA);A08365165;BARCELONA;ESPANA;U1;31/12/2001;35.311
94.;NUCAP EUROPE SA (EXTINGUIDA);A31063696;CENDEA DE OLZA/OLTZA ZENDEA;ESPANA;U2;31/12/2015;34.704
95.;ABANTIA INSTALACIONES SA (EN LIQUIDACION);A08385965;SANT BOI DE LLOBREGAT;ESPANA;U1;31/12/2015;34.548
96.;TRANS CATALA SL;B25013129;BARCELONA;ESPANA;U1;31/12/2021;34.394
97.;ESTRUCTURAS LYM SA;A30020309;YECLA;ESPANA;U1;31/12/2021;33.846
98.;COMPLEJOS DE VINILO, SA;A28399715;FUENLABRADA;ESPANA;U1;31/12/2021;33.744
99.;INDUSTRIAS ALEGRE SA;A46078267;ALBAL;ESPANA;U2;31/12/2021;33.719
100.;CONSTRUCCIONES ANTOLIN GARCIA LOZOYA SA;A45007515;TOLEDO;ESPANA;U2;31/12/2020;33.643
101.;SUAREP Y LLADO SA;A08394157;BARCELONA;ESPANA;U1;31/12/2020;33.427
102.;OLIVELLA FERRARI SA (EXTINGUIDA);A08401184;VILAFRANCA DEL PENEDES;ESPANA;U2;31/12/2016;33.359
103.;FERNANDEZ MOLINA OBRAS Y SERVICIOS SA;A28414654;MADRID;ESPANA;U1;31/12/2021;32.572
104.;CALZADOS PABLO SL;B45007671;FUENSALIDA;ESPANA;U1;31/08/2020;31.753
105.;KENCHIC SL. (EXTINGUIDA);B08371825;POZUELO DE ALARCON;ESPANA;U1;30/11/2007;30.845
106.;NODOSA SL;B36611705;BUEU;ESPANA;U1;31/12/2021;30.057
107.;AZULEJOS PEÑA SA;A28386225;ARGANDA DEL REY;ESPANA;U1;31/12/2020;29.924
108.;CLINICA BARCELONETA SAU.;A08418477;BARCELONA;ESPANA;U1;31/12/2021;29.771
109.;DISTRIBUIDORES AUTOMATICOS VENDING SL;B08378911;SANT JUST DESVERN;ESPANA;U1;31/12/2021;29.193
110.;SULZER PUMPS WASTEWATER SPAIN SAU;A28388023;RIVAS-VACIAMADRID;ESPANA;U1;31/12/2021;29.050
111.;INDUSTRIAL QUIMICA LASEM, SAU;A08363681;CASTELLGALI;ESPANA;U2;31/12/2020;28.869
112.;JEMA ENERGY SA;A20043352;LASARTE-ORIA;ESPANA;U1;31/12/2021;28.861
113.;UNIPUBLIC SA;A28406775;SAN SEBASTIAN DE LOS REYES;ESPANA;U1;31/12/2021;28.767
114.;PROTA SA (EN LIQUIDACION);A08388381;BARCELONA;ESPANA;U1;31/12/2005;28.464
115.;SUMELEC NAVARRA SL;B31064082;NOAIN (V ELORZ)/NOAIN (ELORTZIBAR);ESPANA;U1;31/12/2021;28.275
116.;BERNEDA SA;A08876674;LA TORRE DE CLARAMUNT;ESPANA;U1;31/03/2021;28.158
117.;ROMEU Y COMPAÑIA SA;A28402006;VALENCIA;ESPANA;U1;31/12/2020;27.976
118.;ZERMATT SA;A28409712;FUENLABRADA;ESPANA;U1;31/12/2021;27.935
119.;VIAJES OMVESA, ORGANIZACION MUNDIAL DE VIAJES, SA   (EN LIQUIDACION);A28381234;MADRID;ESPANA;U1;31/12/2007;27.913
120.;ROMA INFRAESTRUCTURES I SERVEIS SAU;A25012386;MIRALCAMP;ESPANA;U1;31/12/2021;27.215
121.;IBERINFORM INTERNACIONAL SAU;A28382927;MADRID;ESPANA;U1;31/12/2020;27.148
122.;FRANCISCO MIRO SA (EN LIQUIDACION);A08383259;GAVA;ESPANA;U1;31/12/2002;27.015
123.;EDITORIAL VICENS VIVES SA.;A08375545;BARCELONA;ESPANA;U2;31/12/2021;26.784
124.;TRUMPLER ESPAÑOLA SA;A08376105;BARBERA DEL VALLES;ESPANA;U2;31/12/2021;26.041
125.;NILFISK S.A.U.;A08362030;MADRID;ESPANA;U1;31/12/2020;25.986
126.;KIDE S COOP;F48071377;BERRIATUA;ESPANA;U1;31/12/2018;25.737
127.;SPINREACT SA;A17027202;LA VALL D'EN BAS;ESPANA;U1;31/03/2020;25.719
128.;AUTOMECANICA ALMERIENSE SA (EN LIQUIDACION);A04005559;HUERCAL DE ALMERIA;ESPANA;U1;31/12/2008;25.718
129.;HIDRAL SOCIEDAD ANONIMA;A41043449;SEVILLA;ESPANA;U1;31/12/2020;25.669
130.;EDITORIAL EVEREST SA (EN LIQUIDACION);A28399970;MADRID;ESPANA;U1;31/12/2013;25.638
131.;BERETTA-BENELLI IBERICA SA;A01010313;IRUÑA OKA/IRUÑA DE OCA;ESPANA;U1;31/12/2021;24.764
132.;FIESTA HOTELS & RESORTS SL;B45010808;EIVISSA;ESPANA;U1;31/12/2020;24.640
133.;TRANSPORTES CRUZ SL;B31061815;ORKOIEN;ESPANA;U1;31/12/2021;24.506
134.;ELION SA;A08389587;BARCELONA;ESPANA;U1;31/12/2021;24.465
135.;FRUTAS PLASENCIA SL;B12018636;BENIFAIRO DE LES VALLS;ESPANA;U1;30/09/2020;24.076
136.;IBIPLAST SA;A03047347;IBI;ESPANA;U1;31/12/2020;23.509
137.;TECSIDEL SA (EN LIQUIDACION);A28400323;SANT CUGAT DEL VALLES;ESPANA;U2;31/12/2019;23.003
138.;DURA EUROPE SAU;A28388049;GETAFE;ESPANA;U1;31/12/2021;22.838
139.;VIA AUGUSTA SA;A50032309;ZARAGOZA;ESPANA;U2;31/12/2020;22.502
140.;ACIMETAL SL (EXTINGUIDA);B08382012;TERRASSA;ESPANA;U1;31/12/2009;22.501
141.;CPC FINA FLEXIBLES SA.;A46168720;PATERNA;ESPANA;U1;31/12/2021;22.182
142.;TREFILERIA DEL MEDITERRANEO SL;B46078614;VALENCIA;ESPANA;U1;31/12/2021;22.052
143.;GEBLASA SA (EXTINGUIDA);A28404143;ALCOBENDAS;ESPANA;U1;31/12/2017;21.664
144.;DIASA INDUSTRIAL SAU (EN LIQUIDACION);A31064033;MURCIA;ESPANA;U1;31/12/2017;21.633
145.;HERMANOS TAMARIT FURIO SA;A46082228;ALFAFAR;ESPANA;U1;31/12/2021;21.563
146.;AUTO PALAS SAU;A39013735;SANTANDER;ESPANA;U2;31/12/2021;21.487
147.;REMLE, SA;A08388811;BARCELONA;ESPANA;U1;31/12/2021;21.427
148.;AUTO-RECAMBIOS VILBER SL;B46082145;VALENCIA;ESPANA;U1;31/12/2020;21.421
149.;LIMPIEZAS DEYSE SL;B08383085;MANRESA;ESPANA;U1;31/12/2021;21.276
150.;HELADOS ROYNE SA (EXTINGUIDA);A28434561;LEGANES;ESPANA;U1;31/12/2000;21.229
151.;PASAPESCA SA;A08373102;EL PRAT DE LLOBREGAT;ESPANA;U1;31/12/2021;21.199
152.;INDUSTRIAS DAVID SL;B30019616;YECLA;ESPANA;U1;31/12/2021;21.122
153.;XYLAZEL SA (EXTINGUIDA);A36007110;O PORRIÑO;ESPANA;U1;31/12/2018;20.947
154.;AZNAR INDUSTRIAL SA (EXTINGUIDA);A12018909;CASTELLON;ESPANA;U1;31/03/2001;20.748
155.;COOP COMARCAL SAN ANTONIO ABAD DE MORELLA COOP V;F12015988;MORELLA;ESPANA;U1;31/12/2012;19.578
156.;ARESBANK SA;A28386191;MADRID;ESPANA;U1;31/12/2021;19.473
157.;UNION FARMACEUTICA DE LA MANCHA S.A. (EXTINGUIDA);A02007342;ALBACETE;ESPANA;U1;31/12/2008;18.959
158.;INMOBILIARIA APROTUSA SL;B43022151;CHIPIONA;ESPANA;U2;31/12/2021;18.949
159.;INDUSTRIAS CARNICAS BLANCAFORT SA;A08368318;GRANOLLERS;ESPANA;U1;31/12/2021;18.783
160.;INTERNATIONAL PAPER VALLS SOCIEDAD ANONIMA. (EXTINGUIDA);A43020759;VALLS;ESPANA;U1;31/12/2020;18.690
161.;LIMPIEZAS CRESPO SA;A28396604;MADRID;ESPANA;U1;31/12/2021;18.202
162.;GERARDO BECKER BUJACK SA (EXTINGUIDA);A20042792;ALEGIA;ESPANA;U1;31/12/2002;18.194
163.;JOAQUIN LLUSAR Y CIA SA  (EXTINGUIDA);A12002887;QUARTELL;ESPANA;U1;31/07/2016;18.160
164.;AUTO-RECAMBIOS PEÑALVER SA (EXTINGUIDA);A30019426;MURCIA;ESPANA;U1;31/12/2017;17.839
165.;MARITIMA MALLACH S.A. (EXTINGUIDA);A12018719;CASTELLON;ESPANA;U1;31/12/2005;17.817
166.;ELECTRO IDELLA SL;B03044658;PETRER;ESPANA;U1;31/12/2021;17.631
167.;RECICLAJES Y TRANSFORMACIONES SL;B46080800;ALZIRA;ESPANA;U1;31/12/2021;17.273
168.;INTERMAHER S.A.U.;A01010180;LEGUTIO;ESPANA;U1;31/12/2021;17.153
169.;GOLMAR SISTEMAS DE COMUNICACION, SA;A08370314;CORNELLA DE LLOBREGAT;ESPANA;U1;31/12/2020;17.129
170.;OBRAS Y PAVIMENTOS ESPECIALES SA;A28410850;MADRID;ESPANA;U1;31/12/2021;16.793
171.;INDUSTRIAL JUGUETERA SOCIEDAD ANONIMA;A03003324;IBI;ESPANA;U1;31/12/2021;16.734
172.;TREMEFIL-IZAGUIRRE SA.;A20043311;USURBIL;ESPANA;U1;31/12/2021;16.516
173.;COMARO SA (EXTINGUIDA);A10006955;CASAS DEL MONTE;ESPANA;U1;31/12/2003;16.419
174.;TORNILLERIA LEMA SA;A20015723;ELGETA;ESPANA;U1;31/12/2021;16.168
175.;JOSE ESPINOSA POMARES SA  (EXTINGUIDA);A30018147;LORCA;ESPANA;U1;31/12/2009;16.001
176.;CORPORACION AREA INMOBILIARIA BBVA S.L. (EXTINGUIDA);B48072839;MADRID;ESPANA;U1;31/12/2003;15.886
177.;PUERTO PUNTA PORTALS SA;A07044480;CALVIA;ESPANA;U1;31/12/2021;15.878
178.;TALLERES COBO HERMANOS SL;B39014709;EL ASTILLERO;ESPANA;U1;31/12/2021;15.763
179.;RIBAWOOD SA;A50033174;VILLANUEVA DE GALLEGO;ESPANA;U1;31/12/2020;15.762
180.;SERVICIOS PLASTICOS SA;A30019475;MOLINA DE SEGURA;ESPANA;U1;31/12/2021;15.686
181.;Z T HOTELS & RESORTS SL;B12019485;VINAROS;ESPANA;U2;31/12/2021;15.442
182.;ALMACENES SARRIGUREN SL (EXTINGUIDA);B31063415;ARANGUREN;ESPANA;U1;31/12/2010;15.349
183.;HERMANOS PEREZ BELTRAN SA (EXTINGUIDA);A08393803;BARCELONA;ESPANA;U1;31/12/2012;15.279
184.;CERVI SL;B08371791;TERRASSA;ESPANA;U2;31/12/2020;15.273
185.;PLASTICOS GUADALAVIAR SA;A46079380;BENIPARRELL;ESPANA;U1;31/12/2020;15.135
186.;VIAJES IBERCOLOR SL (EXTINGUIDA);B28400026;MADRID;ESPANA;U1;31/12/2002;15.132
187.;SAT N 1510 SAN ANTON (EXTINGUIDA);F09012725;VILLAQUIRAN DE LOS INFANTES;ESPANA;U1;31/12/2012;14.766
188.;CRAPE S COOP REGIONAL AGROPECUARIA (EN LIQUIDACION);F37014123;PEÑARANDA DE BRACAMONTE;ESPANA;U1;31/12/2002;14.765
189.;COMEVAL VALVE SYSTEMS, S.L. Y CIA, SOCIEDAD COMANDITARIA.;B46082475;EL PUIG DE SANTA MARIA;ESPANA;U1;31/12/2021;14.731
190.;HORMICON SA;A08413858;TERRASSA;ESPANA;U1;31/12/2020;14.690
191.;GARCIA JUNCO Y COMPAÑIA SA;A41040239;SEVILLA;ESPANA;U2;31/12/2021;14.678
192.;CLINICA SAN CAMILO SA (EXTINGUIDA);A28411916;MADRID;ESPANA;U1;31/12/2000;14.676
193.;LA MEDITERRANEA COOPERATIVA VALENCIANA (EN LIQUIDACION);F46079299;L'OLLERIA;ESPANA;U1;31/12/2001;14.672
194.;CAVAS DEL CASTILLO DE PERELADA SA;A17028713;PERALADA;ESPANA;U1;31/12/2021;14.572
195.;LAVIOSA PROMASA SA;A01010701;VITORIA-GASTEIZ;ESPANA;U1;31/12/2021;14.329
196.;ESTACION DE SERVICIO DE LA VEGA SA;A33019324;LLANES;ESPANA;U1;31/12/2021;14.276
197.;SELMARK SL;B36610525;VIGO;ESPANA;U1;31/12/2019;13.825
198.;CONSTRUCCIONES PEREZ VILLORA SA (EN LIQUIDACION);A08381261;SANT JOAN DESPI;ESPANA;U1;31/12/2017;13.713
199.;WORLD COURIER DE ESPAÑA SA;A28394013;MADRID;ESPANA;U1;30/09/2019;13.700
200.;CONSTRUCCIONES Y SERVICIOS SOL Y MAR SL;B46077889;CALP;ESPANA;U1;31/12/2021;13.616
201.;INMOBILIARIA TESEION SA  (EXTINGUIDA);A28411429;MADRID;ESPANA;U1;31/12/2013;13.615
202.;PEREGRIN SL;B30018915;PULPI;ESPANA;U1;31/12/2021;13.546
203.;LABORATORIOS PROYEX SA (EN LIQUIDACION);A50033992;ZARAGOZA;ESPANA;U1;31/12/2004;13.537
204.;BODEGAS FRANCO ESPAÑOLAS SA;A26012690;LOGROÑO;ESPANA;U1;31/12/2020;13.403
205.;VICONSA SOCIEDAD ANONIMA;A48073274;BILBAO;ESPANA;U1;31/12/2021;13.353
206.;ULTRATUR SL (EXTINGUIDA);B36610475;VIGO;ESPANA;U1;31/12/2001;13.343
207.;FUNDACION VALDEGODOS;G32008732;VILAMARTIN DE VALDEORRAS;ESPANA;C1;31/12/2017;13.222
208.;CONDUCTOS DE VENTILACION SA;A28392694;MOSTOLES;ESPANA;U1;31/12/2021;13.191
209.;ESTEBAN RIVAS SA.;A28379816;GETAFE;ESPANA;U2;31/12/2021;12.905
210.;EXPLOTACIONS FORESTALS DE L'ALT URGELL SA;A25012881;MONTFERRER I CASTELLBO;ESPANA;U1;31/12/2021;12.700
211.;INDUSTRIA DE LA PESCA CANARIA SA;A35028208;PUERTO DEL ROSARIO;ESPANA;U1;31/12/2018;12.686
212.;SANMY SA;A08543837;TERRASSA;ESPANA;U1;31/12/2021;12.667
213.;COMERCIAL MALLORQUINA DE CARNES SLU;B07045560;PALMA;ESPANA;U1;31/12/2021;12.610
214.;MALAQUIAS MORALES SA;A33610106;GIJON;ESPANA;U1;31/12/2021;12.524
215.;IMABE IBERICA SL (EXTINGUIDA);B28380269;ARGANDA DEL REY;ESPANA;U1;31/12/2020;12.482
216.;SHUTON SA;A01010602;LEGUTIO;ESPANA;U1;31/12/2019;12.476
217.;RECREATIVOS FRANCO SAU;A28415594;MADRID;ESPANA;U1;31/12/2021;12.467
218.;COMERCIAL DONUT SA (EXTINGUIDA);A08525743;BARCELONA;ESPANA;U1;31/12/2000;12.345
219.;ARATZ GROUP ENGINEERING FABRICATED TECHNOLOGY, SOCIEDAD LIMITADA;B01011238;VITORIA-GASTEIZ;ESPANA;U1;31/12/2021;12.336
220.;ESPECIALIDADES LUMINOTECNICAS SAU;A50032572;ZARAGOZA;ESPANA;U1;31/12/2020;12.176
221.;TALLERES MECANICOS PARAMIO SL;B28383362;PARLA;ESPANA;U1;31/12/2021;12.136
222.;RPC ENVASES SA;A28385383;CAMPO REAL;ESPANA;U1;31/03/2019;12.132
223.;CONDENSIA QUIMICA SA;A08394801;BARCELONA;ESPANA;U1;31/12/2021;12.086
224.;TRANSFOR MAD SA;A08401820;CADRETE;ESPANA;U1;31/12/2021;12.022
225.;VIRUTEX SA;A08391765;RUBI;ESPANA;U1;31/12/2021;11.983
226.;MOTONAUTICA LLONCH SA;A17025347;CASTELLO D'EMPURIES;ESPANA;U1;31/12/2020;11.981
227.;SUMINISTROS ELECTRICOS ERKA SL;B20042842;ERRENTERIA;ESPANA;U1;31/12/2021;11.915
228.;GRUPO INDUSTRIAL CATENSA, SA  (EXTINGUIDA);A08380586;SANTA PERPETUA DE MOGODA;ESPANA;U2;31/12/2010;11.888
229.;SEINTEX SERVICIOS DE INFORMATICA S. A.(EXTINGUIDA);A08390809;BARCELONA;ESPANA;U1;31/12/2004;11.834
230.;COFLUSA SAU;A28399384;INCA;ESPANA;U1;31/12/2021;11.755
231.;B T EXPORTADORA DE ACEITUNAS SA;A41040536;SEVILLA;ESPANA;U1;31/12/2017;11.701
232.;CONSTRUCCIONES ALBORA SA;A41041963;SEVILLA;ESPANA;U2;31/12/2020;11.669
233.;ISAP EURIBERICA SA (EXTINGUIDA);A46084091;ALZIRA;ESPANA;U1;31/12/2003;11.596
234.;VALENTIN SA  (EXTINGUIDA);A28415495;SAN SEBASTIAN DE LOS REYES;ESPANA;U1;31/12/2012;11.540
235.;RADIADORES NADAL SL  (EXTINGUIDA);B08413247;MONTCADA I REIXAC;ESPANA;U1;31/12/2016;11.529
236.;TIBA SL;B46081873;VALENCIA;ESPANA;U1;31/12/2021;11.427
237.;CONSTRUCCIONES EXCAVACIONES Y ASFALTOS SA;A07042435;CAPDEPERA;ESPANA;U1;31/12/2020;11.351
238.;ISOPERFIL SOCIEDAD ANONIMA.;A26012864;MADRID;ESPANA;U1;31/12/2016;11.299
239.;PERI SAU;A46080602;ALGETE;ESPANA;U1;31/12/2020;11.264
240.;OFICINA TECNICA DE CLIMATIZACION SL;B18014167;GRANADA;ESPANA;U1;31/12/2021;11.256
